gate_exp,bg_strength,band-power,SINDy,DMD,CEBRA
0.5,0.2,0.5522222222222222,0.9662222222222223,0.5066666666666666,1.0
0.5,0.4,0.5393333333333332,0.9588888888888889,0.40199999999999997,0.9033333333333333
0.5,0.6,0.5411111111111111,0.9684444444444444,0.45311111111111113,0.5833333333333334
0.5,0.9,0.5437777777777778,0.9548888888888889,0.5048888888888888,0.5085185185185185
0.5,1.3,0.5462222222222222,0.9277777777777778,0.4377777777777777,0.48074074074074075
1.0,0.2,0.5531111111111111,0.9553333333333335,0.5064444444444444,1.0
1.0,0.4,0.5357777777777778,0.9475555555555555,0.4502222222222222,0.9992592592592593
1.0,0.6,0.5408888888888889,0.9637777777777778,0.47333333333333333,0.9162962962962963
1.0,0.9,0.5415555555555557,0.9480000000000001,0.4771111111111111,0.5511111111111111
1.0,1.3,0.5408888888888889,0.9075555555555554,0.4615555555555555,0.5737037037037037
2.0,0.2,0.5717777777777778,0.9648888888888889,0.4935555555555555,1.0
2.0,0.4,0.5493333333333333,0.9537777777777778,0.4518888888888889,0.9988888888888888
2.0,0.6,0.5468888888888889,0.9364444444444444,0.5051111111111111,0.9118518518518518
2.0,0.9,0.5497777777777778,0.9182222222222223,0.5282222222222221,0.765925925925926
2.0,1.3,0.5424444444444444,0.8857777777777779,0.47088888888888897,0.4574074074074073
4.0,0.2,0.5813333333333335,0.9744444444444443,0.4844444444444445,1.0
4.0,0.4,0.5504444444444445,0.9697777777777776,0.4515555555555556,0.9996296296296295
4.0,0.6,0.5484444444444445,0.9684444444444444,0.48711111111111116,0.9277777777777777
4.0,0.9,0.55,0.9388888888888889,0.502,0.7081481481481481
4.0,1.3,0.5435555555555556,0.892,0.47444444444444456,0.5377777777777778
8.0,0.2,0.5773333333333334,0.9751111111111112,0.4700000000000001,1.0
8.0,0.4,0.5444444444444445,0.968888888888889,0.47733333333333333,0.9622222222222222
8.0,0.6,0.5317777777777778,0.9691111111111113,0.5433333333333333,0.9788888888888888
8.0,0.9,0.5297777777777778,0.944888888888889,0.5297777777777778,0.7740740740740741
8.0,1.3,0.5202222222222221,0.9115555555555556,0.4368888888888889,0.6814814814814815
