method,family,metric,n,spectral,evoked,wave,naturalistic,burst,cfc_pac
band-power,spectral,auc,60,1.00,0.46,0.51,0.62,0.56,0.57
phase-conn,connectivity,ba,60,0.66,0.41,1.00,0.49,0.46,0.55
DMD,system-ID,auc,60,0.86,0.49,0.43,0.56,0.33,0.52
SINDy,system-ID,auc,60,0.41,0.47,0.97,0.33,0.41,0.97
DySCo,dynamic-FC,auc,60,0.68,0.54,0.56,0.59,0.90,0.53
HMM,state-space,auc,60,0.48,0.98,0.59,0.56,0.63,0.61
osl-TDE-HMM,state-space,auc,40,1.00,0.74,1.00,0.69,1.00,0.60
CEBRA,latent,auc,60,0.89,0.55,1.00,0.48,0.96,0.91
BIOT,foundation-model,ba,60,1.00,0.47,0.55,0.99,0.98,0.51
CBraMod,foundation-model,ba,60,1.00,1.00,1.00,0.64,0.86,0.52
REVE,foundation-model,ba,60,1.00,1.00,1.00,0.67,0.82,0.48
LaBraM,foundation-model,ba,60,1.00,1.00,1.00,0.54,0.52,0.66
LUNA,foundation-model,ba,60,1.00,1.00,0.88,0.72,0.88,0.47
